match_id_hash,game_time,radiant_win,duration,time_remaining,next_roshan_team
a400b8f29dece5f4d266f49f1ae2e98a,155,FALSE,992,837,
b9c57c450ce74a2af79c9ce96fac144d,658,TRUE,1154,496,
6db558535151ea18ca70a6892197db41,21,TRUE,1503,1482,Radiant
46a0ddce8f7ed2a8d9bd5edcbb925682,576,TRUE,1952,1376,
b1b35ff97723d9b7ade1c9c3cf48f770,453,FALSE,2001,1548,
19c39fe2af2b547e48708ca005c6ae74,160,FALSE,2063,1903,
c96d629dc0c39f0c616d1949938a6ba6,1016,TRUE,2147,1131,Radiant
156c88bff4e9c4668b0f53df3d870f1b,582,FALSE,1927,1345,Dire
df50f738c454d430a33b2bf90cb9ef1a,636,FALSE,2059,1423,
7469e9440ea3d19b211a484647c7126e,1054,FALSE,2287,1233,
0aa1c6d7630433a93fe42da5ac810368,1797,FALSE,2423,626,
892b5d40992e4b334e159f99b2bb55e6,605,FALSE,2508,1903,Radiant
44eb0c077ca68678bb9bfead29e9c455,1514,FALSE,2570,1056,Dire
eda82a5a0ae96848e73929c643925633,852,FALSE,2737,1885,Dire
ab3cc6ccac661a1385e73a2e9f21313a,721,FALSE,2705,1984,Radiant
a3c3892648b873bb869dd81ca0f62286,11,TRUE,2575,2564,Dire
34c81a8faede0d8f1f87dcc6ee824658,1362,FALSE,2330,968,Dire
5feece770ca79e5e8cd8052198b3f533,2388,TRUE,2763,375,Dire
54aaab1cb8cc5df3c253641618673266,752,TRUE,1685,933,Radiant
c95069179039952da9db7635ee22972b,2302,FALSE,2997,695,Dire
8f56cc2468ba5c37edb79f3a7b4af6e6,2043,FALSE,2878,835,Dire
171d8515f371cdf5d03c44575cee70c7,730,TRUE,1479,749,
44cdded6d3311134563f743eb77685b2,840,FALSE,2055,1215,Dire
086e5ed8fee6258a3b6ed9127f833573,1955,TRUE,2075,120,
b6f39b49177535c9417eecd8c696674d,342,FALSE,2697,2355,Dire
8ca9e390d39160645953a682a8d6f225,154,TRUE,1917,1763,Radiant
4b6e4e511d399180776d0f23984466b2,1249,TRUE,2895,1646,Radiant
fb4860c8425b62dbe413214beb6650c8,907,TRUE,2016,1109,Radiant
06b147af8683a7973e6f431c412448b7,655,TRUE,2351,1696,Radiant
7d30c0cc9a54fbf92d3fcddcab73d794,1465,FALSE,2426,961,Dire
64ed11373bcf2cfea7a60ede637b70d2,1654,TRUE,2179,525,
95a57e13d66411aa89e23c2dafa116dd,908,FALSE,1635,727,Dire
00a7f372afae35b59ce3819155d95318,2991,TRUE,3218,227,Radiant
bf366db368cc34b63235973dd3f50b0b,1079,FALSE,3374,2295,Dire
70e55187a655b6daacbf58a832d662db,79,FALSE,1156,1077,
a26ea6c7d63eb1df557dbcae742b4705,983,FALSE,2330,1347,Dire
88f9976aa7627b1f0d3e60d4b0483956,736,TRUE,1761,1025,Radiant
466e3043a03c98361c311c58d0ecbbf1,783,FALSE,1521,738,Dire
52691d68dd7b50eddb3092220d4aabb9,1460,FALSE,2091,631,
73669c2af74776b891fb94a1d1099d25,51,FALSE,1485,1434,Dire
fa72fbcde4aaf1023c3df5dc7d739674,293,TRUE,1377,1084,
7174c98d3b2e4ac2b9f5947935cbdd52,876,FALSE,1893,1017,Dire
3c666e1759bfab4467d11010983fb13e,19,TRUE,1780,1761,Radiant
4a0fdc67b9a1e360dae065ff12fade95,843,FALSE,2452,1609,Dire
ba1e963ea091e6af635dedd4ad2e9bbd,33,TRUE,1163,1130,Radiant
86d60b73cbfdbf0a6c291dad12d967f0,945,FALSE,1434,489,Dire
de41039149b7635840f90fc302548eb5,947,TRUE,1647,700,
28497cb3f04d45a272e8b7ed9c7199bd,897,TRUE,1245,348,
bb72d40b170659cafee461fe458b5331,379,FALSE,1249,870,
5b26efd8f4573da98d7a53e6eb3bfcde,1491,TRUE,1994,503,
9360b6c02ab8b2c1ffc719423c1ebdb0,464,TRUE,3268,2804,Dire
512c0d7cf0312c0767603dd77dc42581,353,TRUE,2988,2635,Dire
7849266871db9c0605bd33872a7643fa,593,TRUE,2568,1975,Radiant
fb5c712c74f8317689e7082416b90b77,1925,FALSE,2475,550,Dire
185cbad860e2632dc088d756e3e61a1a,2750,FALSE,2864,114,
2c6ea5bc1788fd5efc72fb741bb4f3b6,2576,TRUE,3336,760,Radiant
